matchId,href,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
lEKZViFN,https://www.flashscore.com/match/basketball/portugal-dGX2fgYh/turkey-EJrArDma/summary/?mid=lEKZViFN,30.08. 20:15,Turkey,Portugal,95,54,22,29,22,22,,13,14,10,17,
rT7hDt4K,https://www.flashscore.com/match/basketball/finland-hrkQcWHb/montenegro-rN44xrxQ/summary/?mid=rT7hDt4K,30.08. 19:30,Montenegro,Finland,65,85,23,14,15,13,,23,24,20,18,
pKKwJ5it,https://www.flashscore.com/match/basketball/cyprus-YPE5m6og/greece-ba2gXuFg/summary/?mid=pKKwJ5it,30.08. 17:15,Cyprus,Greece,69,96,13,18,16,22,,22,21,26,27,
WjTHzVIr,https://www.flashscore.com/match/basketball/france-dS5MsX25/slovenia-vHfUe4nd/summary/?mid=WjTHzVIr,30.08. 17:00,France,Slovenia,103,95,28,19,21,35,,30,24,16,25,
htG5QVxo,https://www.flashscore.com/match/basketball/latvia-IPYbeZIn/serbia-Qq17dU1H/summary/?mid=htG5QVxo,30.08. 17:00,Latvia,Serbia,80,84,18,20,18,24,,22,20,25,17,
2XU5kwCD,https://www.flashscore.com/match/basketball/great-britain-KhcD0YXu/sweden-fuqXiPgO/summary/?mid=2XU5kwCD,30.08. 15:30,Great Britain,Sweden,59,78,13,17,17,12,,19,16,26,17,
vglwrDQ8,https://www.flashscore.com/match/basketball/belgium-jk5QtiIB/iceland-QeebgR95/summary/?mid=vglwrDQ8,30.08. 14:00,Iceland,Belgium,64,71,21,15,16,12,,17,15,14,25,
bsRgFNj5,https://www.flashscore.com/match/basketball/georgia-E9skCSvt/italy-n5lUdjX4/summary/?mid=bsRgFNj5,30.08. 14:00,Italy,Georgia,78,62,18,14,21,25,,10,22,15,15,
pz3ilZUi,https://www.flashscore.com/match/basketball/czech-republic-nHbZvVnO/estonia-nsrT0eeP/summary/?mid=pz3ilZUi,30.08. 13:45,Czech Republic,Estonia,75,89,19,17,18,21,,23,31,23,12,
f7Rcias1,https://www.flashscore.com/match/basketball/germany-bVp0e7fa/lithuania-2BDVquJk/summary/?mid=f7Rcias1,30.08. 12:30,Lithuania,Germany,88,107,20,27,25,16,,32,23,28,24,
C8PAydon,https://www.flashscore.com/match/basketball/portugal-dGX2fgYh/serbia-Qq17dU1H/summary/?mid=C8PAydon,29.08. 20:15,Portugal,Serbia,69,80,19,14,16,20,,23,20,21,16,
lfdcgLCl,https://www.flashscore.com/match/basketball/finland-hrkQcWHb/great-britain-KhcD0YXu/summary/?mid=lfdcgLCl,29.08. 19:30,Finland,Great Britain,109,79,30,28,23,28,,21,21,14,23,
tlHRXDpB,https://www.flashscore.com/match/basketball/estonia-nsrT0eeP/latvia-IPYbeZIn/summary/?mid=tlHRXDpB,29.08. 17:00,Estonia,Latvia,70,72,21,21,19,9,,17,21,25,9,
I7ZPBTSF,https://www.flashscore.com/match/basketball/lithuania-2BDVquJk/montenegro-rN44xrxQ/summary/?mid=I7ZPBTSF,29.08. 15:30,Lithuania,Montenegro,94,67,26,21,19,28,,15,13,17,22,
KYSIZZFb,https://www.flashscore.com/match/basketball/czech-republic-nHbZvVnO/turkey-EJrArDma/summary/?mid=KYSIZZFb,29.08. 13:45,Turkey,Czech Republic,92,78,21,24,27,20,,27,10,25,16,
MutHDkb3,https://www.flashscore.com/match/basketball/germany-bVp0e7fa/sweden-fuqXiPgO/summary/?mid=MutHDkb3,29.08. 12:30,Germany,Sweden,105,83,27,32,25,21,,17,25,24,17,
WC4NGFAC,https://www.flashscore.com/match/basketball/greece-ba2gXuFg/italy-n5lUdjX4/summary/?mid=WC4NGFAC,28.08. 20:30,Greece,Italy,75,66,22,14,20,19,,12,20,13,21,
nonhK9Y1,https://www.flashscore.com/match/basketball/poland-G6eedmug/slovenia-vHfUe4nd/summary/?mid=nonhK9Y1,28.08. 20:30,Slovenia,Poland,95,105,25,21,23,26,,29,18,33,25,
zoBEIyt0,https://www.flashscore.com/match/basketball/bosnia-herzegovina-bqdHahmn/cyprus-YPE5m6og/summary/?mid=zoBEIyt0,28.08. 17:15,Bosnia & Herzegovina,Cyprus,91,64,23,24,11,33,,13,13,23,15,
QVcqMV3k,https://www.flashscore.com/match/basketball/belgium-jk5QtiIB/france-dS5MsX25/summary/?mid=QVcqMV3k,28.08. 17:00,Belgium,France,64,92,10,17,22,15,,18,25,27,22,
4Q2VEguP,https://www.flashscore.com/match/basketball/georgia-E9skCSvt/spain-OKERpL3q/summary/?mid=4Q2VEguP,28.08. 14:00,Georgia,Spain,83,69,20,17,20,26,,17,18,14,20,
fm7DRitS,https://www.flashscore.com/match/basketball/iceland-QeebgR95/israel-Q7cwvk2U/summary/?mid=fm7DRitS,28.08. 14:00,Israel,Iceland,83,71,23,13,24,23,,19,13,20,19,
xfZaJEVH,https://www.flashscore.com/match/basketball/estonia-nsrT0eeP/serbia-Qq17dU1H/summary/?mid=xfZaJEVH,27.08. 20:15,Serbia,Estonia,98,64,32,24,30,12,,12,17,15,20,
YJaMi8yp,https://www.flashscore.com/match/basketball/finland-hrkQcWHb/sweden-fuqXiPgO/summary/?mid=YJaMi8yp,27.08. 19:30,Sweden,Finland,90,93,21,27,24,18,,26,23,23,21,
A7X7Hh0U,https://www.flashscore.com/match/basketball/latvia-IPYbeZIn/turkey-EJrArDma/summary/?mid=A7X7Hh0U,27.08. 17:00,Latvia,Turkey,73,93,21,18,16,18,,24,23,25,21,
449jcUDM,https://www.flashscore.com/match/basketball/germany-bVp0e7fa/montenegro-rN44xrxQ/summary/?mid=449jcUDM,27.08. 15:30,Montenegro,Germany,76,106,20,23,12,21,,24,22,33,27,
tSuiLz15,https://www.flashscore.com/match/basketball/czech-republic-nHbZvVnO/portugal-dGX2fgYh/summary/?mid=tSuiLz15,27.08. 13:45,Czech Republic,Portugal,50,62,10,19,11,10,,13,19,13,17,
fZmVkn6d,https://www.flashscore.com/match/basketball/great-britain-KhcD0YXu/lithuania-2BDVquJk/summary/?mid=fZmVkn6d,27.08. 12:30,Great Britain,Lithuania,70,94,15,18,17,20,,23,18,24,29,
0feHGH6o,https://www.flashscore.com/match/basketball/bosnia-herzegovina-bqdHahmn/france-dS5MsX25/summary/?mid=0feHGH6o,24.02. 21:10,France,Bosnia & Herzegovina,76,74,18,16,17,25,,21,11,25,17,
vofLFyMi,https://www.flashscore.com/match/basketball/czech-republic-nHbZvVnO/great-britain-KhcD0YXu/summary/?mid=vofLFyMi,24.02. 20:30,Great Britain,Czech Republic,96,75,23,17,32,24,,15,20,18,22,
Y7gPEeyb,https://www.flashscore.com/match/basketball/greece-ba2gXuFg/netherlands-KIf2hoPB/summary/?mid=Y7gPEeyb,24.02. 20:30,Greece,Netherlands,63,53,18,16,14,15,,18,5,16,14,
nBcTDFj4,https://www.flashscore.com/match/basketball/denmark-SCogBnfn/finland-hrkQcWHb/summary/?mid=nBcTDFj4,24.02. 20:00,Denmark,Finland,77,83,25,22,23,7,,24,17,18,24,
0tGr2Iih,https://www.flashscore.com/match/basketball/israel-Q7cwvk2U/slovenia-vHfUe4nd/summary/?mid=0tGr2Iih,24.02. 20:00,Israel,Slovenia,84,74,11,25,25,23,,15,16,28,15,
IHQw3bxn,https://www.flashscore.com/match/basketball/portugal-dGX2fgYh/ukraine-4h9UuBXH/summary/?mid=IHQw3bxn,24.02. 20:00,Portugal,Ukraine,60,88,17,15,18,10,,24,17,30,17,
UZnYCZ5A,https://www.flashscore.com/match/basketball/georgia-E9skCSvt/serbia-Qq17dU1H/summary/?mid=UZnYCZ5A,24.02. 20:00,Serbia,Georgia,63,54,13,14,17,19,,17,14,10,13,
GjotBDzN,https://www.flashscore.com/match/basketball/estonia-nsrT0eeP/lithuania-2BDVquJk/summary/?mid=GjotBDzN,24.02. 18:30,Lithuania,Estonia,82,75,28,32,7,15,,19,24,21,11,
8QoxCgLG,https://www.flashscore.com/match/basketball/north-macedonia-O2ZfdF3t/poland-G6eedmug/summary/?mid=8QoxCgLG,24.02. 18:30,North Macedonia,Poland,88,74,26,19,22,21,,19,20,16,19,
OxCYiYTp,https://www.flashscore.com/match/basketball/croatia-0hOg67IT/cyprus-YPE5m6og/summary/?mid=OxCYiYTp,24.02. 18:00,Cyprus,Croatia,67,104,14,11,18,24,,26,22,26,30,
vXEn1x7b,https://www.flashscore.com/match/basketball/iceland-QeebgR95/turkey-EJrArDma/summary/?mid=vXEn1x7b,23.02. 20:30,Iceland,Turkey,83,71,26,20,23,14,,16,22,16,17,
86Jj0dM4,https://www.flashscore.com/match/basketball/hungary-UDBtdAnB/italy-n5lUdjX4/summary/?mid=86Jj0dM4,23.02. 20:30,Italy,Hungary,67,71,10,17,23,17,,13,19,10,29,
MTP6dELT,https://www.flashscore.com/match/basketball/bulgaria-t8oMbC2h/germany-bVp0e7fa/summary/?mid=MTP6dELT,23.02. 17:30,Germany,Bulgaria,94,85,28,34,13,19,,21,14,22,28,
S6Q2cf6N,https://www.flashscore.com/match/basketball/montenegro-rN44xrxQ/sweden-fuqXiPgO/summary/?mid=S6Q2cf6N,23.02. 17:30AOT,Sweden,Montenegro,86,83,20,12,21,19,14,14,19,18,21,11
ncIfaGyB,https://www.flashscore.com/match/basketball/latvia-IPYbeZIn/slovakia-lSZ19QOb/summary/?mid=ncIfaGyB,23.02. 17:00,Slovakia,Latvia,68,89,15,18,18,17,,20,19,30,20,
UL7abziH,https://www.flashscore.com/match/basketball/belgium-jk5QtiIB/spain-OKERpL3q/summary/?mid=UL7abziH,23.02. 17:00,Spain,Belgium,59,52,11,11,20,17,,11,14,15,12,
MZSGmJxa,https://www.flashscore.com/match/basketball/bosnia-herzegovina-bqdHahmn/cyprus-YPE5m6og/summary/?mid=MZSGmJxa,21.02. 20:00,Bosnia & Herzegovina,Cyprus,108,62,28,25,29,26,,14,15,21,12,
vBwClaNh,https://www.flashscore.com/match/basketball/croatia-0hOg67IT/france-dS5MsX25/summary/?mid=vBwClaNh,21.02. 20:00,Croatia,France,80,83,17,18,16,29,,20,17,22,24,
tGLqkBd6,https://www.flashscore.com/match/basketball/israel-Q7cwvk2U/portugal-dGX2fgYh/summary/?mid=tGLqkBd6,21.02. 20:00,Israel,Portugal,84,78,18,29,18,19,,18,14,21,25,
UaWOoc7B,https://www.flashscore.com/match/basketball/great-britain-KhcD0YXu/netherlands-KIf2hoPB/summary/?mid=UaWOoc7B,21.02. 19:30,Netherlands,Great Britain,69,73,14,15,21,19,,20,11,18,24,
zwXKnwh5,https://www.flashscore.com/match/basketball/czech-republic-nHbZvVnO/greece-ba2gXuFg/summary/?mid=zwXKnwh5,21.02. 18:00AOT,Czech Republic,Greece,89,93,13,27,14,23,12,27,10,23,17,16
4EMZ3vNu,https://www.flashscore.com/match/basketball/estonia-nsrT0eeP/north-macedonia-O2ZfdF3t/summary/?mid=4EMZ3vNu,21.02. 18:00,Estonia,North Macedonia,84,65,22,16,20,26,,17,22,11,15,
l2nQqyxO,https://www.flashscore.com/match/basketball/denmark-SCogBnfn/georgia-E9skCSvt/summary/?mid=l2nQqyxO,21.02. 18:00,Georgia,Denmark,62,60,19,18,11,14,,21,4,20,15,
ShoUreiU,https://www.flashscore.com/match/basketball/lithuania-2BDVquJk/poland-G6eedmug/summary/?mid=ShoUreiU,21.02. 18:00,Poland,Lithuania,48,82,18,14,10,6,,15,22,25,20,
8jVSpHMH,https://www.flashscore.com/match/basketball/finland-hrkQcWHb/serbia-Qq17dU1H/summary/?mid=8jVSpHMH,21.02. 17:30,Finland,Serbia,95,105,26,31,14,24,,24,27,28,26,
OvRvjis0,https://www.flashscore.com/match/basketball/slovenia-vHfUe4nd/ukraine-4h9UuBXH/summary/?mid=OvRvjis0,21.02. 16:30,Ukraine,Slovenia,71,84,22,14,19,16,,24,21,21,18,
Uylxe1pP,https://www.flashscore.com/match/basketball/belgium-jk5QtiIB/slovakia-lSZ19QOb/summary/?mid=Uylxe1pP,20.02. 20:15,Belgium,Slovakia,93,63,21,25,23,24,,24,13,10,16,
Wpz4jLht,https://www.flashscore.com/match/basketball/germany-bVp0e7fa/montenegro-rN44xrxQ/summary/?mid=Wpz4jLht,20.02. 19:00,Montenegro,Germany,76,95,17,21,13,25,,26,24,25,20,
